min,max,mean,var,std
227.78726,3629.1328,1380.5214,596204.75,772.14294
15.092623,60.242287,35.727367,104.07661,10.201795
20.098145,159.17993,92.77355,855.3527,29.246414
265.50134,3964.4998,1524.7324,675450.6,821.85803
16.294212,62.96427,37.655487,106.79661,10.334245
20.260742,159.17603,92.86052,855.46674,29.248362
294.7621,4408.4204,1653.8615,748042.1,864.8943
17.168636,66.395935,39.30304,109.1325,10.4466505
19.960205,159.18896,92.702354,856.34454,29.263365
201.77333,3640.7185,1303.5923,563792.0,750.86084
14.204694,60.338367,34.6504,102.94214,10.146041
19.942627,159.17822,92.68716,855.64636,29.251434
152.17392,3306.4006,1194.0056,504004.6,709.9328
12.335879,57.501312,33.067177,100.56759,10.028339
19.957764,159.18237,92.689735,855.6279,29.251118
180.2396,3359.494,1244.6711,530787.8,728.5519
13.425334,57.96114,33.816715,101.101006,10.054899
20.04248,159.17432,92.70267,855.7366,29.252975
222.88927,3610.5542,1324.4775,576900.0,759.53937
14.929477,60.087887,34.9533,102.74424,10.136283
20.142334,159.17969,92.72499,856.03406,29.258059
238.19109,3817.5195,1397.7938,620990.5,788.02954
15.43344,61.78608,35.963146,104.44589,10.219877
19.950195,159.18848,92.70222,856.57513,29.267303
212.3386,3686.3425,1309.1046,568800.44,754.1886
14.571842,60.71526,34.729465,102.96894,10.147362
19.926758,159.1831,92.69153,856.2817,29.262291
183.11731,3479.6309,1235.4927,532720.0,729.8767
13.532084,58.988396,33.670498,101.79023,10.089114
19.948975,159.18726,92.699875,856.6413,29.268435
228.60199,3606.6853,1326.6235,590714.8,768.5797
15.11959,60.055687,34.962482,104.2483,10.210206
20.101562,159.17773,92.733475,857.3856,29.281149
267.24048,3918.192,1451.6421,675524.3,821.90283
16.347492,62.595463,36.651867,108.28259,10.405892
20.314941,159.18213,92.790405,858.42267,29.298851
303.11792,4213.6753,1565.7345,756692.9,869.881
17.410282,64.91283,38.12619,112.12821,10.589061
0.0,0.32682925,0.09390842,0.0068724174,0.08290004
0.0,0.30287206,0.06376572,0.0032770627,0.057245634
0.0,0.09090909,0.019424992,0.00039246466,0.019810721
